Curve_Num,DAC1_Val,DAC2_Val,Raw_ADC
4,160,26,180
4,160,28,210
4,160,30,240
4,160,32,272
4,160,34,304
4,160,36,335
4,160,38,365
4,160,40,392
4,160,42,422
4,160,44,449
4,160,46,478
4,160,48,503
4,160,50,531
4,160,52,553
4,160,54,567
4,160,56,579
4,160,58,591
4,160,60,599
4,160,62,608
4,160,64,613
4,160,66,621
4,160,68,625
4,160,70,630
4,160,72,636
4,160,74,641
4,160,76,645
4,160,78,650
4,160,80,655
4,160,82,656
4,160,84,660
4,160,86,664
4,160,88,668
4,160,90,671
4,160,92,674
4,160,94,678
4,160,96,682
4,160,98,685
4,160,100,687
4,160,102,688
4,160,104,691
4,160,106,693
4,160,108,696
4,160,110,699
4,160,112,702
4,160,114,704
4,160,116,705
4,160,118,708
4,160,120,711
4,160,122,714
4,160,124,716
4,160,126,718
4,160,128,720
4,160,130,721
4,160,132,723
4,160,134,726
4,160,136,728
4,160,138,731
4,160,140,733
4,160,142,735
4,160,144,737
4,160,146,739
4,160,148,740
4,160,150,743
4,160,152,745
4,160,154,747
4,160,156,749
4,160,158,751
4,160,160,752
4,160,162,753
4,160,164,754
4,160,166,757
4,160,168,758
4,160,170,761
4,160,172,763
4,160,174,765
4,160,176,767
4,160,178,769
4,160,180,770
4,160,182,772
4,160,184,774
4,160,186,776
4,160,188,779
4,160,190,781
4,160,192,782
4,160,194,783
4,160,196,784
4,160,198,784
4,160,200,786
4,160,202,788
4,160,204,790
4,160,206,792
4,160,208,794
4,160,210,796
4,160,212,798
4,160,214,800
4,160,216,801
4,160,218,804
4,160,220,805
5,200,0,0
5,200,2,0
5,200,4,0
5,200,6,0
5,200,8,0
5,200,10,2
5,200,12,16
5,200,14,33
5,200,16,50
5,200,18,72
5,200,20,95
5,200,22,121
5,200,24,146
5,200,26,176
5,200,28,207
5,200,30,237
5,200,32,270
5,200,34,301
5,200,36,329
5,200,38,359
5,200,40,387
5,200,42,417
5,200,44,446
5,200,46,473
5,200,48,498
5,200,50,528
5,200,52,549
5,200,54,564
5,200,56,577
5,200,58,590
5,200,60,597
5,200,62,607
5,200,64,611
5,200,66,619
5,200,68,624
5,200,70,629
5,200,72,636
5,200,74,640
5,200,76,645
5,200,78,650
5,200,80,655
5,200,82,656
5,200,84,659
5,200,86,663
5,200,88,667
5,200,90,671
5,200,92,673
5,200,94,677
5,200,96,681
5,200,98,684
5,200,100,687
5,200,102,688
5,200,104,690
5,200,106,693
5,200,108,696
5,200,110,699
5,200,112,701
5,200,114,704
5,200,116,706
5,200,118,708
5,200,120,710
5,200,122,713
5,200,124,716
5,200,126,718
5,200,128,720
5,200,130,721
5,200,132,723
5,200,134,725
5,200,136,727
5,200,138,730
5,200,140,733
5,200,142,734
5,200,144,736
5,200,146,738
5,200,148,740
5,200,150,743
5,200,152,745
5,200,154,748
5,200,156,750
5,200,158,751
5,200,160,752
5,200,162,752
5,200,164,754
5,200,166,756
5,200,168,758
5,200,170,760
5,200,172,763
5,200,174,765
5,200,176,767
5,200,178,768
5,200,180,769
5,200,182,771
5,200,184,773
5,200,186,775
5,200,188,778
5,200,190,780
5,200,192,781
5,200,194,783
5,200,196,783
5,200,198,785
5,200,200,786
5,200,202,788
5,200,204,789
5,200,206,792
5,200,208,794
5,200,210,796
5,200,212,798
5,200,214,799
5,200,216,801
5,200,218,803
5,200,220,805
--- SWEEP COMPLETE ---
